unit_type,elo
Grenadier_Destructive_XylBossaps,1498.71
Grenadier_Destructive_XylTrog,1498.37
Scavenger_XylTrog,1495.60
Town_Guard_XylGaunt,1495.11
Empire_Fighter_Janissary_XylChyrrFixed,1495.05
Tribal_Penitent_XylTrog,1492.53
Grenadier_Destructive_XylSuccuboid,1492.29
Grenadier_Destructive_XylChyrrFixed,1491.46
Tribal_Berserker_XylBossaps,1488.35
Grenadier_Destructive_XylTitan,1488.23
Tribal_Penitent_Dirtmole,1487.77
Tribal_Penitent_XylTitan,1486.77
Empire_Fighter_Janissary_Waster,1485.49
Grenadier_Destructive_Waster,1485.43
Tribal_Penitent_XylDvergr,1483.86
Mercenary_Gunner_Sanguophage,1480.67
Mercenary_Slasher_Dirtmole,1479.14
Mercenary_Sniper_Baseliner,1478.74
Grenadier_Destructive_Baseliner,1478.59
Villager_Pigskin,1478.32
Empire_Fighter_Janissary_Baseliner,1478.14
Scavenger_Neanderthal,1475.80
Grenadier_Destructive_Neanderthal,1475.28
Mercenary_Sniper_Yttakin,1470.89
Villager_XylWarcat,1470.69
Tribal_Berserker_Waster,1469.95
Scavenger_XylGaunt2,1469.73
Mercenary_Slasher_Baseliner,1468.65
Scavenger_Impid,1468.09
Mercenary_Gunner_XylChyrr,1466.23
Town_Guard_XylTitan,1465.18
Mercenary_Slasher_Impid,1464.91
Villager_Yttakin,1464.87
Tribal_Berserker_Yttakin,1464.47
Mercenary_Gunner_Waster,1464.37
Scavenger_Hussar,1463.68
Mercenary_Sniper_Sanguophage,1463.64
Tribal_Berserker_Baseliner,1463.39
Scavenger_Starjack,1462.99
Mercenary_Gunner_Dirtmole,1459.49
Mercenary_Slasher_XylSuccuboid,1458.72
Town_Guard_XylNixie,1457.14
Villager_Sanguophage,1454.28
Villager_Impid,1453.80
Mercenary_Gunner_XylDvergr,1453.63
Mercenary_Slasher_XylChyrrFixed,1453.42
Tribal_Penitent_XylSuccuboid,1450.83
Grenadier_Destructive_Pigskin,1450.42
Tribal_Berserker_XylChyrrFixed,1450.23
Mercenary_Sniper_Waster,1449.89
Mercenary_Sniper_Pigskin,1449.12
Town_Guard_Pigskin,1449.10
Town_Guard_XylWarcat,1447.97
Scavenger_Sanguophage,1446.74
Mercenary_Slasher_XylChyrr,1446.25
Scavenger_Dirtmole,1446.01
Town_Guard_Neanderthal,1445.26
Mercenary_Sniper_XylSuccuboid,1445.06
Mercenary_Sniper_XylDvergr,1444.90
Scavenger_Waster,1444.34
Mercenary_Slasher_XylTitan,1443.64
Town_Guard_XylSuccuboid,1443.63
Town_Guard_Dirtmole,1443.59
Town_Guard_Sanguophage,1443.57
Mercenary_Slasher_Pigskin,1443.27
Town_Guard_Waster,1441.54
Grenadier_Destructive_Sanguophage,1440.55
Grenadier_Destructive_Starjack,1440.20
Villager_Waster,1439.59
Tribal_Berserker_Impid,1437.74
Tribal_Penitent_Yttakin,1437.25
Tribal_Archer_XylTrog,1436.63
Villager_Dirtmole,1435.39
Mercenary_Sniper_Starjack,1433.60
Tribal_Berserker_Dirtmole,1432.89
Tribal_Archer_Hussar,1431.79
Scavenger_XylSuccuboid,1431.79
Tribal_Penitent_Waster,1431.03
Tribal_Berserker_XylChyrr,1430.42
Mercenary_Sniper_Dirtmole,1429.13
Scavenger_XylTitan,1426.05
Tribal_Archer_Sanguophage,1425.99
Mercenary_Gunner_Starjack,1421.27
Villager_Highmate,1421.17
Town_Guard_XylTrog,1419.64
Mercenary_Slasher_Waster,1419.33
Tribal_Berserker_XylDvergr,1418.45
Tribal_Penitent_Baseliner,1415.16
Villager_Hussar,1412.08
Villager_Baseliner,1411.45
Tribal_Penitent_XylChyrrFixed,1410.97
Tribal_Penitent_Impid,1410.19
Town_Guard_Starjack,1409.96
Grenadier_Destructive_Hussar,1408.99
Empire_Fighter_StellicGuardRanged_Sanguophage,1408.47
Tribal_Archer_Neanderthal,1404.18
Scavenger_Yttakin,1403.49
Mercenary_Sniper_XylChyrr,1403.21
Grenadier_Destructive_XylDvergr,1397.75
Villager_XylNixie,1397.11
Scavenger_Pigskin,1396.13
Grenadier_Destructive_Impid,1395.74
Town_Guard_Impid,1395.23
Tribal_Archer_XylDvergr,1394.14
Mercenary_Sniper_XylChyrrFixed,1392.85
Tribal_Archer_XylBossaps,1389.75
Villager_XylSuccuboid,1389.29
Tribal_Penitent_XylNixie,1387.63
Mercenary_Sniper_XylNixie,1387.53
Tribal_Archer_XylChyrrFixed,1387.32
Mercenary_Sniper_Impid,1384.70
Villager_XylChyrrFixed,1384.66
Tribal_Archer_Yttakin,1384.21
Tribal_Berserker_XylSuccuboid,1383.38
Villager_XylDvergr,1382.41
Scavenger_Highmate,1382.19
Villager_Starjack,1381.67
Grenadier_Destructive_XylNixie,1380.99
Tribal_Archer_XylTitan,1380.54
Scavenger_Baseliner,1380.08
Tribal_Archer_Impid,1379.09
Tribal_Archer_Dirtmole,1378.17
Mercenary_Slasher_Sanguophage,1377.84
Mercenary_Slasher_XylDvergr,1377.49
Tribal_Archer_XylWarcat,1376.02
Scavenger_XylDvergr,1369.42
Villager_XylTrog,1363.96
Scavenger_Genie,1363.65
Tribal_Archer_XylNixie,1362.27
Grenadier_Destructive_Genie,1360.93
Grenadier_Destructive_Dirtmole,1360.81
Mercenary_Sniper_Genie,1360.15
Town_Guard_XylChyrr,1359.13
Scavenger_XylNixie,1355.96
Town_Guard_XylChyrrFixed,1354.88
Villager_Genie,1347.70
Town_Guard_XylDvergr,1347.65
Tribal_Archer_Pigskin,1347.01
Mercenary_Slasher_Genie,1341.83
Mercenary_Slasher_XylNixie,1340.66
Tribal_Archer_Starjack,1337.81
Scavenger_XylChyrr,1337.78
Tribal_Penitent_Highmate,1336.06
Mercenary_Slasher_Highmate,1332.11
Tribal_Berserker_Starjack,1329.97
Tribal_Berserker_XylNixie,1327.67
Town_Guard_Baseliner,1322.65
Grenadier_Destructive_XylChyrr,1321.65
Town_Guard_Genie,1319.72
Tribal_Archer_Genie,1315.22
Tribal_Penitent_XylChyrr,1313.32
Tribal_Archer_XylSuccuboid,1308.32
Tribal_Archer_Waster,1304.02
Tribal_Penitent_Genie,1303.04
Grenadier_Destructive_Highmate,1289.76
Mercenary_Gunner_Genie,1285.58
Tribal_Archer_Baseliner,1285.17
Mercenary_Slasher_Starjack,1281.75
Town_Guard_Highmate,1274.75
Villager_XylChyrr,1273.03
Tribal_Penitent_Starjack,1247.62
Tribal_Berserker_Genie,1207.12
Tribal_Archer_XylChyrr,1176.22
